id_transaccion,id_contrato,id_cliente,id_producto,fecha,ingreso,costo,margen
1,1,1,10,2023-01-01,3.26,1.3,1.96
2,1,1,10,2023-01-31,3.34,1.36,1.98
3,1,1,10,2023-03-02,3.38,1.29,2.09
4,1,1,10,2023-04-01,3.25,1.24,2.01
5,1,1,10,2023-05-01,3.27,1.33,1.94
6,1,1,10,2023-05-31,3.14,1.29,1.85
7,1,1,10,2023-06-30,3.19,1.37,1.82
8,1,1,10,2023-07-30,3.15,1.28,1.87
9,1,1,10,2023-08-29,3.14,1.33,1.81
10,1,1,10,2023-09-28,3.12,1.36,1.76
11,1,1,10,2023-10-28,3.24,1.26,1.98
12,1,1,10,2023-11-27,3.25,1.32,1.93
13,1,1,10,2023-12-27,3.41,1.32,2.09
14,1,1,10,2024-01-26,3.24,1.32,1.92
15,1,1,10,2024-02-25,3.24,1.31,1.93
16,1,1,10,2024-03-26,3.18,1.24,1.94
17,1,1,10,2024-04-25,3.11,1.37,1.74
18,1,1,10,2024-05-25,3.39,1.32,2.07
19,1,1,10,2024-06-24,3.32,1.25,2.07
20,1,1,10,2024-07-24,3.3,1.31,1.99
21,1,1,10,2024-08-23,3.22,1.31,1.91
22,1,1,10,2024-09-22,3.41,1.32,2.09
23,1,1,10,2024-10-22,3.12,1.32,1.8
24,1,1,10,2024-11-21,3.1,1.35,1.75
25,2,2,3,2023-01-01,247.42,70.45,176.97
26,2,2,3,2023-01-31,248.9,69.65,179.25
27,2,2,3,2023-03-02,246.84,68.6,178.24
28,2,2,3,2023-04-01,238.95,65.18,173.77
29,2,2,3,2023-05-01,241.09,66.85,174.24
30,2,2,3,2023-05-31,244.78,69.73,175.05
31,2,2,3,2023-06-30,255.02,67.03,187.99
32,2,2,3,2023-07-30,252.97,68.42,184.55
33,2,2,3,2023-08-29,252.95,66.64,186.31
34,2,2,3,2023-09-28,250.47,68.07,182.4
35,2,2,3,2023-10-28,250.3,66.67,183.63
36,2,2,3,2023-11-27,235.4,69.14,166.26
37,2,2,3,2023-12-27,250.49,65.9,184.59
38,2,2,3,2024-01-26,233.86,67.37,166.49
39,2,2,3,2024-02-25,239.49,69.26,170.23
40,2,2,3,2024-03-26,236.98,64.95,172.03
41,2,2,3,2024-04-25,249.7,68.29,181.41
42,2,2,3,2024-05-25,254.38,68.53,185.85
43,2,2,3,2024-06-24,244.15,66.41,177.74
44,2,2,3,2024-07-24,252.79,67.6,185.19
45,2,2,3,2024-08-23,255.32,70.31,185.01
46,2,2,3,2024-09-22,237.14,68.94,168.2
47,2,2,3,2024-10-22,236.84,65.27,171.57
48,2,2,3,2024-11-21,236.71,69.1,167.61
49,3,3,1,2023-01-01,172.02,44.53,127.49
50,3,3,1,2023-01-31,173.04,45.88,127.16
51,3,3,1,2023-03-02,176.69,43.67,133.02
52,3,3,1,2023-04-01,182.5,44.21,138.29
53,3,3,1,2023-05-01,179.56,44.76,134.8
54,3,3,1,2023-05-31,177.11,43.81,133.3
55,3,3,1,2023-06-30,172.87,45.42,127.45
56,3,3,1,2023-07-30,176.17,45.66,130.51
57,3,3,1,2023-08-29,178.12,45.28,132.84
58,3,3,1,2023-09-28,171.12,45.76,125.36
59,3,3,1,2023-10-28,173.23,45.79,127.44
60,3,3,1,2023-11-27,180.45,45.11,135.34
61,3,3,1,2023-12-27,176.33,45.63,130.7
62,3,3,1,2024-01-26,172.25,44.55,127.7
63,3,3,1,2024-02-25,185.04,43.7,141.34
64,3,3,1,2024-03-26,168.58,42.33,126.25
65,3,3,1,2024-04-25,181.38,45.24,136.14
66,3,3,1,2024-05-25,175.35,42.07,133.28
67,3,3,1,2024-06-24,178.67,43.41,135.26
68,3,3,1,2024-07-24,183.3,44.74,138.56
69,3,3,1,2024-08-23,173.9,45.54,128.36
70,3,3,1,2024-09-22,181.98,44.66,137.32
71,3,3,1,2024-10-22,170.41,44.51,125.9
